SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
43679,57007,2021-07-29T06:03:43,154928280,01/07/2021 10:13,Meter,54967,56207,1240,800,8.064,3.5430839,TRUE
43888,69472,2021-07-29T06:03:43,1228670721,01/07/2021 10:13,Meter,67255,68608,1353,864,9.315,3.3126294,TRUE
43745,43880,2021-07-29T06:03:43,1497105899,01/07/2021 10:13,Meter,42358,43252,894,628,8.064,2.781320862,TRUE
44117,59186,2021-07-29T06:03:43,154929021,01/07/2021 10:13,Meter,57239,58427,1188,759,7.56,3.585600907,TRUE
44198,183162,2021-07-29T06:03:44,960235543,01/07/2021 10:13,Meter,176845,180605,3760,2557,25.4925,3.582286107,TRUE
44387,28271,2021-07-29T06:03:44,691799871,01/07/2021 10:13,Meter,27295,27885,590,386,3.8475,3.583031653,TRUE
44460,34499,2021-07-29T06:03:44,2033986382,01/07/2021 10:13,Meter,33270,34012,742,487,5.796,3.000838016,TRUE
66695,48699,2021-07-29T06:03:44,1765676433,01/07/2021 10:13,Meter,46376,47785,1409,914,8.694,3.754641953,TRUE
24988,99719,2021-07-29T06:03:45,1765542806,01/07/2021 10:13,Meter,96316,98352,2036,1367,13.365,3.652931431,TRUE
29085,88702,2021-07-29T06:03:45,1765543794,01/07/2021 10:13,Meter,85556,87420,1864,1282,11.1834,4.094078213,TRUE
36605,32695,2021-07-29T06:03:45,423379760,01/07/2021 10:13,Meter,31800,32333,533,362,4.95,2.611832612,TRUE
43492,31649,2021-07-29T06:03:45,2033977243,01/07/2021 10:13,Meter,30463,31181,718,468,4.8735,3.429626698,TRUE
43695,58927,2021-07-29T06:03:46,1765562566,01/07/2021 10:13,Meter,56998,58147,1149,780,6.831,4.078047556,TRUE
23198,55099,2021-07-29T06:03:46,2034026396,05/07/2021 10:10,Meter,53550,54488,938,611,10.5948,2.059635724,TRUE
27510,77149,2021-07-29T06:03:46,423413846,01/07/2021 10:13,Meter,74668,76126,1458,1023,10.26,3.560985798,TRUE
44059,81799,2021-07-29T06:03:46,154930997,01/07/2021 10:13,Meter,78938,80547,1609,1252,11.25,3.974603175,TRUE
44772,75779,2021-07-29T06:03:47,1497108616,01/07/2021 10:13,Meter,73150,74746,1596,1033,11.1834,3.298894535,TRUE
44649,44250,2021-07-29T06:03:49,1228672450,01/07/2021 10:13,Meter,42709,43635,926,615,5.616,3.911019536,TRUE
